Name,RA,DECL,Equinox,Vmag,Sp.Type,"dist (pc)",star_id,star_id_str
HIP17420,"3 43 55.6","-19  6 36",2000,7.10,K2V,14.00,273,star273
HIP17439,"3 44 9.45","-38 16 49",2000,6.99,K1V,16.20,274,star274
HIP17440,"3 44 12.7","-64 48 23",2000,3.84,"K0IV SB",30.50,275,star275
HIP17496,"3 44 51.4","11 55 14",2000,9.13,K8V:,21.80,276,star276
HIP17544,"3 45 24.5","-27 51 42",2000,8.21,K2V,21.70,277,star277
HIP17609,"3 46 20.6","26 12 52",2000,9.61,K5,14.50,278,star278
HIP17651,"3 46 50.7","-23 15  7",2000,4.22,F3/F5V,17.90,279,star279
HIP17666,"3 47 2.96","41 25 18",2000,7.67,K1V,24.40,280,star280
HIP17749,"3 48 1.40","68 40 26",2000,9.17,K0,17.30,281,star281
HIP17797,"3 48 35.9","-37 37 12",2000,4.30,A+...,49.40,282,star282
HIP17978,"3 50 35.7","-42 33 45",2000,8.61,K2V,26.70,283,star283
HIP18267,"3 54 28.2","16 36 55",2000,6.81,G0,20.60,284,star284
HIP18280,"3 54 35.4","-6 49 25",2000,9.02,M0V,15.40,285,star285
HIP18324,"3 55 4.80","61  9 56",2000,7.84,K0V,21.20,286,star286
HIP18413,"3 56 10.9","59 38 33",2000,6.53,G0,21.30,287,star287
HIP18450,"3 56 36.4","-41 20 35",2000,8.85,K5V,17.60,288,star288
HIP18512,"3 57 28.5","-1  9 36",2000,8.07,K4V,15.70,289,star289
HIP18774,"4  1 21.0","76  9 24",2000,8.20,K4V,15.90,290,star290
HIP18859,"4  2 36.9","-0 16 12",2000,5.38,F5V,19.20,291,star291
HIP18907,"4  3 9.38","5 59 21",2000,3.91,A1V,39.60,292,star292
HIP18975,"4  3 56.7","8 11 50",2000,5.45,F2V,35.90,293,star293
HIP19076,"4  5 20.4","22  0 29",2000,5.90,G5V,16.70,294,star294
HIP19165,"4  6 34.9","-20 51 23",2000,9.70,K7,23.50,295,star295
HIP19205,"4  7 0.34","29  0  4",2000,5.21,F1V,27.50,296,star296
HIP19233,"4  7 21.9","-64 13 14",2000,6.37,G3V,23.10,297,star297
HIP19255,"4  7 34.5","38  4 24",2000,7.13,G5,20.50,298,star298
HIP19333,"4  8 35.5","-59 31 38",2000,9.71,K4V,25.60,299,star299
HIP19335,"4  8 36.8","38  2 19",2000,5.52,F7V,21.30,300,star300
HIP19337,"4  8 38.0","33 38 15",2000,10.10,M1,13.60,301,star301
HIP19422,"4  9 35.2","69 32 24",2000,7.70,G5,18.40,302,star302
HIP19554,"4 11 20.4","5 31 23",2000,5.71,F4V,38.60,303,star303
HIP19655,"4 12 41.8","70 12  6",2000,9.73,M0V:,25.80,304,star304
HIP19719,"4 13 33.1","7 42 57",2000,5.29,F3V...,36.90,305,star305
HIP19747,"4 14 0.17","-42 17 42",2000,3.85,K1III,35.90,306,star306
HIP19832,"4 15 9.63","-4 25  7",2000,9.38,K5V,20.40,307,star307
GJ166,"4 15 13.8","-7 40  4",2000,4.43,K0.5V,4.98,308,star308
HIP19849,"4 15 13.9","-7 40  4",2000,4.43,K1V,5.04,309,star309
GJ166BC,"4 15 19.3","-7 40 11",2000,9.52,M5V,4.98,310,star310
HIP19855,"4 15 25.6","6 11 56",2000,6.94,G5IV,20.80,311,star311
HIP19859,"4 15 28.6","6 11 10",2000,6.32,G0IV...,21.10,312,star312
HIP19884,"4 15 58.3","-53 18 28",2000,7.64,K5V,13.00,313,star313
HIP19893,"4 16 1.75","-51 29  8",2000,4.26,F4III,20.30,314,star314
HIP19921,"4 16 28.9","-59 18 10",2000,4.44,K2IV,18.20,315,star315
HIP19930,"4 16 32.6","36 30  2",2000,8.25,K2,25.50,316,star316
HIP19990,"4 17 15.6","20 34 41",2000,4.93,A3m,28.60,317,star317
HIP20219,"4 19 57.8","14  2  6",2000,5.58,F3V...,44.80,318,star318
HIP20261,"4 20 36.4","15  5 43",2000,5.26,F0V,47.10,319,star319
HIP20542,"4 24 5.88","17 26 38",2000,4.80,A7V,44.70,320,star320
